Snapshot 360000 saved, average loss: 72.2972043934, average time: 1.7120751785                                                                            
Snapshot 362000 saved, average loss: 72.3533760014, average time: 1.64825176394                                                                           
Snapshot 364000 saved, average loss: 72.3457889118, average time: 1.67471507251                                                                           
Snapshot 366000 saved, average loss: 72.58042593, average time: 1.63222550404                                                                             
Snapshot 368000 saved, average loss: 72.1925059738, average time: 1.62234586442                                                                           
Snapshot 370000 saved, average loss: 72.3386113911, average time: 1.64628953958                                                                           
Snapshot 372000 saved, average loss: 72.0999328327, average time: 1.66725269246                                                                           
Snapshot 374000 saved, average loss: 72.0420214863, average time: 1.75388793004                                                                           
Snapshot 376000 saved, average loss: 72.2434426117, average time: 1.71582599342                                                                           
Snapshot 378000 saved, average loss: 72.3483955383, average time: 1.69391528857                                                                           
Snapshot 380000 saved, average loss: 72.3416529388, average time: 1.66183547497                                                                           
Snapshot 382000 saved, average loss: 72.0440825405, average time: 1.73078575003                                                                           
Snapshot 384000 saved, average loss: 72.0525502434, average time: 1.64135875297                                                                           
Snapshot 386000 saved, average loss: 72.1390669403, average time: 1.69974204803                                                                           
Snapshot 388000 saved, average loss: 71.9341756783, average time: 1.67763487399                                                                           
Snapshot 390000 saved, average loss: 72.3192551212, average time: 1.62632833648                                                                           
Snapshot 392000 saved, average loss: 72.0560237713, average time: 1.69125778103                                                                           
Snapshot 394000 saved, average loss: 72.4320485954, average time: 1.6634805665                                                                            
Snapshot 396000 saved, average loss: 72.2132747669, average time: 1.67495269752                                                                           
Snapshot 398000 saved, average loss: 72.0806120281, average time: 1.67103682101                                                                           
Snapshot 400000 saved, average loss: 71.9751161556, average time: 1.62588949943                                                                           
Snapshot 402000 saved, average loss: 70.9352895031, average time: 1.62874306059                                                                           
Snapshot 404000 saved, average loss: 70.120252182, average time: 1.74910676849                                                                            
Snapshot 406000 saved, average loss: 69.9882045765, average time: 1.70308304441                                                                           
Snapshot 408000 saved, average loss: 69.9025264893, average time: 1.7766143316                                                                            
Snapshot 410000 saved, average loss: 70.1244709072, average time: 1.7024738754                                                                            
Snapshot 412000 saved, average loss: 69.8679195995, average time: 1.58590480649                                                                           
Snapshot 414000 saved, average loss: 69.9405917473, average time: 1.71480961359
